city,population
Tokyo,8336599
Ōsaka,2592413
Yokohama,3697894
Nagoya,2191279
Fukuoka,1392289
Sapporo,1861786
Sendai,1037562
Hiroshima,1143841
Kyōto,1459640
Kōbe,1528478
Shinkawasaki,1306785
Hamamatsu,797462
Zahana,317906
Okayama,639652
Kumamoto,680423
Shizuoka,671332
Utsunomiya,449865
Nagano,360176
Hachiōji,579399
Niigata,505272
Kagoshima,516833
Kanazawa,458937
Ōtsu,338629
Mitsuhama,516637
Tsu,284969
Ōita,375294
Tokushima,267345
Wakayama,351000
Nagasaki,410204
Gifu,397714
Iwaki,292045
Asahikawa,325547
Mito,246538
Maebashi,282711
Kawagoe,337931
Kōchi,310620
Takamatsu,325500
Toyama,325532
Miyazaki,311203
Akita,281856
Hakodate,275730
Aomori,264749
Morioka,294393
Fukushima,263686
Yamagata,254538
Fuku,233870
Shinkai,226611
Ashino,183612
Kōfu,190000
Kure,196624
Hiraokamachi,168429
Takaoka,78797
Matsue,144243
Muroran,96197
Tottori,131173
Otaru,134729
Kitami,94806
Sakata,72569
Tsuruoka,76285
Naka-maizuru,32598
Kasano,54692
Onagawa Chō,
Matsuyama,
Inuotose,
Saitama,
Hirado,
Naha,
Kozakai-chō,
Nara,
Furudate,
Fukui,
Uchimaru,
Saga,
Yawatahama-shi,
Yamaguchi,
Chiba,
Ikata-chō,